,EN, RU
,,
Trust Element 1,,
TXT," More than 3 million clients in 120+ countries have chosen Libertex, an award-winning platform","Нас уже выбрали более 3 миллионов человек из 120+ стран. Libertex — платформа, которой доверяют по всему миру."
BUTTON,CONTINUE,Продолжить
,,
Trust Element 2,,
TXT,"You're ready to level up!
This journey is built on expert insights and tailored content — made to match your skills and goals","Переходите на следующий уровень
Всё, что будет дальше, создано с учётом вашего уровня и целей. Вас ждёт продуманный маршрут на основе экспертных решений и реального опыта."
BUTTON,CONTINUE,Продолжить
,,
Trust Element 2,,
TXT,"No stress — we’ll guide you step by step
Every stage is built on expert research and tailored to your skills, so you can grow with confidence","Разберёмся во всем вместе
Не нужно торопиться. Мы будем сопровождать вас на каждом шаге, чтобы вы чувствовали уверенность и понимали, что делаете."
BUTTON,CONTINUE,Продолжить
,,
Trust Element 3,,
TXT,"We appreciate your trust — your information is safe with us
Join over 3 million players who’ve already begun their journey to financial freedom—and conquered their money worries along the way","Ваши данные в безопасности
Спасибо, что доверяете нам. Мы бережно относимся к вашим данным и никогда не передаём их третьим лицам."
BUTTON,CONTINUE,Продолжить
,,
Trust Element 4,,
TXT,"Awesome!
Only 23% feel confident about money (Capital One Survey). Most stay stuck—but not you
We’ll map your personal path to success. Let’s go!","Первый шаг — самый важный
Лишь 23% людей уверены в своих финансах (по данным Capital One). Но вы уже движетесь в нужном направлении."
BUTTON,CONTINUE,Продолжить
,,
Trust Element 4,,
TXT,"No stress—we’ve got you!
77% worry about money (Capital One Sruvey). We’ll build your personal roadmap forward","Вы не одни!
77% беспокоятся о деньгах (Capital One). Мы поможем вам навести порядок и составить понятный план."
BUTTON,CONTINUE,Продолжить
,,
Trust Element 5,,
TXT,"Great! We’ve cracked the code!
220+ companies soared 190%+ last year (Yahoo Finance Data). We’ll help you spot the winners","Цифры говорят сами за себя
Более 220 компаний выросли более чем на 190% за прошлый год (по данным Yahoo Finance). Мы покажем, как находить такие возможности."
BUTTON,CONTINUE,Продолжить
,,
Trust Element 5,,
TXT,"Awesome!
90% want to invest—but half don’t start (Stash Research). We’ll get you there in weeks—tailored to your skills","Начать проще, чем кажется
90% людей хотят инвестировать, но половина так и не решается (по исследованию Stash). Мы подскажем, с чего начать и как двигаться вперёд."
BUTTON,CONTINUE,Продолжить
,,
Custom,,
HL,Check Your Wealth Growth Profile,Проверьте свой финансовый профиль
Score,Beginner,Начинающий инвестор
TXT,"You’re just getting started — and that’s a great place to be!
We’ll guide you through the basics so you can build skills, start trading with confidence, and unlock your profit potential step by step.","Ваш подход: хочу разобраться
Вы только начинаете интересоваться возможностями рынка. Пока многое кажется новым и сложным, но это именно тот момент, когда можно спокойно вникнуть и найти свою траекторию."
Score,Intermediate,Уверенный участник рынка
TXT,"You’ve got the basics — now it’s time to go further!
Refine your strategy, explore smarter tools, and level up your trading game as you move closer to consistent results.","Ваш подход: готов развиваться
Базовые шаги уже позади. Сейчас вы ищете более продуманные решения и начинаете выстраивать стратегию, которая подходит именно вам.
"
Score,Experienced,Продвинутый пользователь
TXT,"You know your way around the markets — now let’s optimise your edge!
With advanced insights and high-performance tools, you’re ready to trade smarter and aim higher.","Ваш подход: работаю по своей стратегии
Вы знаете, чего хотите, и уверенно пользуетесь инструментами. Мы поможем усилить ваши результаты точными данными и актуальными идеями."
SHL,Based on your chosen market:,На основе выбранного вами рынка:
Market,Stocks,Акции
Market,Forex,Форекс
Market,Crypto,Криптовалюта
Market,Commodities,Сырьевые товары
Market,Index,Индексы
SHL,This is our recommendation:,Мы рекомендуем обратить внимание на:
